name	doi	aerobic_status	morphology	motility	spore_formation	gram_stain	bile_sensitive	saccharolytic	comments	urease	catalase	formate_production	acetate_production	propionate_production	butyrate_production	isobutyrate_production	valerate_production	isovalerate_production
Dialister micraerophilus	10.1099/ijs.0.63715-0	microaerobe or anaerobe	cocci	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Prevotella stercorea	10.1099/ijs.0.64778-0	anaerobe (unspecified)	rod/ bacilli	not indicated	non-spore forming	Gram-negative	no growth in 20% bile	saccharolytic		not indicated	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	minor product
Prevotella tannerae	10.1099/00207713-44-4-599	not indicated	not indicated	non-motile	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	minor product	major product	not indicated	not indicated	minor product	not indicated	minor product
Prevotella timonensis	10.1099/ijs.0.64609-0	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	no growth in 20% bile	saccharolytic		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Ruminococcus gauvreauii	10.1099/ijs.0.65259-0	obligate anaerobe	cocci	non-motile	not indicated	Gram-positive	not indicated	saccharolytic		urease negative	catalase negative	not producted	major product	not producted	not producted	not producted	not producted	not producted
Ruminococcus torques	10.1099/00207713-24-2-260	obligate anaerobe	cocci or oval-shaped	non-motile	not indicated	Gram-positive	growth in 20% bile	saccharolytic		not indicated	not indicated	major product	major product	not producted	not indicated	not indicated	not indicated	not indicated
Eubacterium brachy	10.1099/00207713-30-1-163	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	minor product	minor product	not indicated	not indicated	major product	not indicated	major product
Eubacterium callanderi	10.1099/00207713-38-3-254	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	major product	consumed	not indicated	major product	not indicated	not indicated	not indicated
Eubacterium cellulosolvens	N/A	obligate anaerobe	cocci	motile	not indicated	Gram-variable	not indicated	saccharolytic	http://jb.asm.org/content/76/5/529.full.pdf+html	not indicated	catalase negative	major product	major product	not producted	not producted	not indicated	not indicated	not indicated
Veillonella atypica	10.1099/00207713-32-1-28	anaerobe (unspecified)	cocci	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic		not indicated	not indicated	not indicated	major product	major product	not indicated	not indicated	not indicated	not indicated
Propionimicrobium lymphophilum	10.1099/00207713-52-6-1925	anaerobe (unspecified)	cocci	non-motile	non-spore forming	Gram-positive	somewhat inhibited by 20% bile	saccharolytic		not indicated	catalase positive	minor product	major product	major product	not indicated	not indicated	not indicated	major product
Porphyromonas bennonis	10.1099/ijs.0.001909-0	obligate anaerobe	rod/ bacilli	not indicated	non-spore forming	Gram-negative	not indicated	asaccharolytic		urease negative	catalase variable	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Peptostreptococcus stomatis	10.1099/ijs.0.64041-0	obligate anaerobe	cocci	not indicated	not indicated	Gram-positive	not indicated	saccharolytic		urease negative	catalase negative	not indicated	major product	not indicated	minor product	minor product	not indicated	minor product
Peptoniphilus lacrimalis	10.1099/00207713-51-4-1521	obligate anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Peptoniphilus duerdenii	10.1099/ijs.0.031997-0	obligate anaerobe	cocci	not indicated	not indicated	Gram-positive	somewhat inhibited by 20% bile	asaccharolytic		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Eubacterium coprostanoligenes	10.1099/00207713-44-1-137	aerotolerant	oval-shaped/ coccobaccili	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	major product	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Eubacterium dolichum	10.1099/00207713-26-2-238	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not indicated	minor product	not indicated	major product	not indicated	not indicated	not indicated
Eubacterium exiguum	10.1099/00207713-46-4-1120	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-variable	not indicated	asaccharolytic		urease negative	catalase negative	not producted	not producted	not producted	not producted	not producted	not producted	not producted
Eubacterium formicigenerans	0.1099/00207713-24-2-260	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease negative	not indicated	major product	major product	not producted	not indicated	not indicated	not indicated	not indicated
Eubacterium fossor	10.1099/00207713-36-3-383	obligate anaerobe	rods or oval-shaped	non-motile	not indicated	Gram-positive	growth in 20% bile	saccharolytic		urease negative	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Eubacterium hadrum	10.1099/00207713-26-2-238	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease negative	not indicated	minor product	major product	minor product	major product	not indicated	not indicated	not indicated
Eubacterium infirmum	10.1099/00207713-46-4-957	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease negative	catalase negative	not indicated	major product	not indicated	major product	not indicated	not indicated	not indicated
Eubacterium minutum	10.1099/00207713-46-1-31	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-variable	not indicated	asaccharolytic		urease negative	catalase negative	not producted	not producted	not producted	major product	not producted	not producted	not producted
Eubacterium nodatum	10.1099/00207713-30-1-163	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	not indicated	minor product	minor product	not indicated	major product	not indicated	not indicated	not indicated
Eubacterium plautii	10.1099/00207713-32-3-346	not indicated	rods or slightly curved rods	non-motile	not indicated	Gram-variable	not indicated	not indicated		not indicated	not indicated	not indicated	minor product	not indicated	major product	not indicated	not indicated	not indicated
Eubacterium plexicaudatum	10.1099/00207713-24-4-408	anaerobe (unspecified)	rods or slightly curved rods	motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not indicated	major product	not indicated	major product	not indicated	not indicated	not indicated
Eubacterium pyruvativorans	10.1099/ijs.0.02110-0	obligate anaerobe	rods or slightly curved rods	non-motile	mixed	Gram-positive	not indicated	asaccharolytic		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Eubacterium ramulus	10.1099/00207713-26-2-238	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease negative	not indicated	major product	major product	not indicated	major product	not indicated	not indicated	not indicated
Eubacterium ruminantium	N/A	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic	http://mmbr.asm.org/content/23/3/125.full.pdf+html	not indicated	not indicated	major product	major product	not indicated	major product	not indicated	not indicated	not indicated
Eubacterium saphenum	10.1099/00207713-43-2-302	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-variable	not indicated	asaccharolytic		urease negative	catalase negative	not indicated	major product	not indicated	major product	not indicated	not indicated	not indicated
Eubacterium suis	10.1099/00207713-32-2-218	anaerobe (unspecified)	pleomorphic rods	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease positive	catalase negative	major product	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Eubacterium tardum	10.1099/00207713-46-4-957	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease negative	catalase negative	not indicated	not indicated	not indicated	major product	not indicated	not indicated	not indicated
Eubacterium timidum	10.1099/00207713-30-1-163	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	not indicated	minor product	minor product	not indicated	not indicated	not indicated	not indicated	not indicated
Eubacterium uniforme	10.1099/00207713-35-3-323	obligate anaerobe	rods or cocci	non-motile	not indicated	Gram-variable	not indicated	not indicated		not indicated	catalase negative	major product	major product	consumed	not indicated	not indicated	not indicated	not indicated
Eubacterium xylanophilum	10.1099/00207713-35-3-323	obligate anaerobe	rods or cocci	motile	non-spore forming	not indicated	not indicated	saccharolytic		not indicated	catalase negative	major product	major product	not indicated	major product	not indicated	not indicated	not indicated
Eubacterium yurii	10.1099/00207713-36-2-145	obligate anaerobe	rod/ bacilli	motile	non-spore forming	Gram-positive	not indicated	mixed		not indicated	catalase negative	not indicated	minor product	minor product	major product	not indicated	not indicated	not indicated
Helicobacter acinonychis	10.1099/00207713-43-1-99	microaerobe	rod/ bacilli	motile	non-spore forming	Gram-negative	not indicated	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helicobacter apri	10.1099/ijsem.0.001071	microaerobe	spirals	not indicated	non-spore forming	Gram-negative	no growth in 20% bile	not indicated		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helicobacter baculiformis	10.1099/ijs.0.65152-0	microaerobe	rods or cocci	motile	non-spore forming	Gram-negative	no growth in 20% bile	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helicobacter bizzozeronii	10.1099/00207713-46-1-160	not indicated	spirals or cocci	motile	non-spore forming	Gram-negative	no growth in 20% bile	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helicobacter cynogastricus	10.1099/ijs.0.63860-0	microaerobe or anaerobe	spirals or cocci	motile	non-spore forming	Gram-negative	no growth in 20% bile	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helicobacter equorum	10.1099/ijs.0.64279-0	microaerobe	rods or cocci	motile	non-spore forming	Gram-negative	no growth in 20% bile	saccharolytic		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helicobacter felis	10.1099/00207713-41-1-31	microaerobe or anaerobe	spirals or cocci	motile	non-spore forming	Gram-negative	not indicated	asaccharolytic		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helicobacter ganmani	10.1099/00207713-51-5-1881	obligate anaerobe	spiral or curved rods	not indicated	not indicated	not indicated	growth in 2% bile	not indicated		urease negative	catalase variable	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helicobacter heilmannii	10.1099/ijs.0.029207-0	microaerobe or anaerobe	spirals or cocci	motile	non-spore forming	Gram-negative	no growth in 20% bile	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helicobacter himalayensis	10.1099/ijs.0.000163	microaerobe or anaerobe	slightly curved rods	motile	non-spore forming	Gram-negative	no growth in 20% bile	not indicated		urease negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helicobacter muridarum	10.1099/00207713-42-1-27	microaerobe	spirals	motile	non-spore forming	Gram-negative	no growth in 20% bile	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helicobacter nemestrinae	10.1099/00207713-41-1-148	microaerobe or anaerobe	pleomorphic	motile	not indicated	Gram-negative	no growth in 20% bile	asaccharolytic		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helicobacter pametensis	10.1099/00207713-44-3-553	microaerobe or anaerobe	slightly curved rods	motile	non-spore forming	Gram-negative	not indicated	not indicated		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helicobacter rodentium	10.1099/00207713-47-3-627	microaerobe or anaerobe	spiral or curved rods	motile	non-spore forming	Gram-negative	not indicated	not indicated		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helicobacter salomonis	10.1099/00207713-47-4-975	not indicated	spirals or cocci	motile	non-spore forming	Gram-negative	no growth in 20% bile	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helicobacter suis	10.1099/ijs.0.65133-0	microaerobe or anaerobe	spirals or cocci	motile	not indicated	not indicated	no growth in 20% bile	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Helicobacter valdiviensis	10.1099/ijs.0.057141-0	microaerobe	rods or cocci	motile	non-spore forming	Gram-negative	not indicated	saccharolytic		urease variable	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Gemella asaccharolytica	10.1099/ijs.0.001966-0	obligate anaerobe	cocci	non-motile	not indicated	Gram-variable	not indicated	asaccharolytic		not indicated	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Gemella cuniculi	10.1099/00207713-50-6-2037	facultative anaerobe	cocci	non-motile	not indicated	Gram-positive	not indicated	saccharolytic		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Gemella morbillorum	10.1099/00207713-38-4-442	aerotolerant	cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	minor product	minor product	not producted	not indicated	not indicated	not indicated	not indicated
Gemella palaticanis	10.1099/00207713-49-4-1523	facultative anaerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Gemella parahaemolysans	10.1099/ijs.0.052795-0	facultative anaerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Gemella taiwanensis	10.1099/ijs.0.052795-0	facultative anaerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Rothia aerobat	10.1099/ijsem.0.001153	aerobe	rods or cocci	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Campylobacter avium	10.1099/ijs.0.007419-0	microaerobe	spirals	motile	not indicated	Gram-negative	mixed	not indicated		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Rothia amarae	10.1099/00207713-52-6-2257	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	mixed		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Campylobacter canadensis	10.1099/ijs.0.65061-0	microaerobe or anaerobe	cocci or curved rods	motile	not indicated	Gram-negative	not indicated	not indicated		urease variable	catalase variable	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Campylobacter coli	10.1099/00207713-23-2-122	aerotolerant	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Campylobacter corcagiensis	10.1099/ijs.0.063867-0	microaerobe or anaerobe	rod/ bacilli	motile	not indicated	Gram-negative	growth in 2% bile	not indicated		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Campylobacter cryaerophilus	10.1099/00207713-35-3-342	facultative anaerobe	spiral or curved rods	not indicated	non-spore forming	Gram-negative	not indicated	asaccharolytic		urease negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Campylobacter cuniculorum	10.1099/ijs.0.007286-0	microaerobe	spirals	motile	not indicated	Gram-negative	mixed	not indicated		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Campylobacter hyoilei	10.1099/00207713-45-1-61	microaerobe or anaerobe	slightly curved rods	motile	non-spore forming	Gram-negative	not indicated	not indicated		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Campylobacter iguaniorum	10.1099/ijs.0.000048	microaerobe or anaerobe	spiral or curved rods	not indicated	not indicated	Gram-negative	not indicated	not indicated		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Rothia endophytica	10.1099/ijs.0.052522-0	anaerobe (unspecified)	ovoid	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease positive	catalase positive	not indicated	not producted	not producted	not indicated	not indicated	not indicated	not indicated
Rothia terrae	10.1099/ijs.0.65172-0	facultative anaerobe	ovoid	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease positive	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Pseudobutyrivibrio xylanivorans	10.1099/ijs.0.02345-0	anaerobe (unspecified)	rods or slightly curved rods	motile	non-spore forming	Gram-negative	not indicated	saccharolytic		urease negative	catalase negative	minor product	consumed	not indicated	minor product	not indicated	not indicated	not indicated
Peptococcus simiae	10.1099/ijsem.0.001494	obligate anaerobe	cocci	non-motile	non-spore forming	Gram-positive	growth in 20% bile	not indicated		urease negative	catalase variable	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Paraprevotella xylaniphila	10.1099/ijs.0.008169-0	obligate anaerobe	not indicated	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic		urease negative	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Anaerostipes butyraticus	10.1099/ijs.0.015289-0	anaerobe (unspecified)	rod/ bacilli	non-motile	spore forming	Gram-positive	not indicated	saccharolytic		urease negative	not indicated	not indicated	consumed	consumed	major product	not indicated	not indicated	not indicated
Anaerostipes rhamnosivorans	10.1099/ijs.0.055061-0	anaerobe (unspecified)	rod/ bacilli	non-motile	spore forming	Gram-variable	not indicated	not indicated		urease negative	catalase negative	major product	major product	not indicated	major product	not indicated	not indicated	not indicated
Butyrivibrio hungatei	10.1099/ijs.0.02345-0	anaerobe (unspecified)	rods or slightly curved rods	motile	non-spore forming	Gram-negative	not indicated	saccharolytic		urease negative	catalase negative	major product	major product	not indicated	major product	not indicated	not indicated	not indicated
Butyrivibrio proteoclasticus	10.1099/ijs.0.65845-0	obligate anaerobe	rods or slightly curved rods	motile	non-spore forming	Gram-positive	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	major product	not indicated	not indicated	not indicated
Granulicella paludicola	10.1099/ijs.0.021824-0	aerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	not indicated	mixed		urease negative	catalase positive	not producted	not producted	not indicated	not producted	not indicated	not producted	not indicated
Mobiluncus curtisii	10.1099/00207713-34-2-177	anaerobe (unspecified)	slightly curved rods	motile	non-spore forming	Gram-variable	not indicated	saccharolytic		not indicated	not indicated	not indicated	major product	not indicated	not producted	not indicated	not indicated	not indicated
Megamonas funiformis	10.1099/ijs.0.65456-0	anaerobe (unspecified)	rod/ bacilli	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic		urease negative	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Odoribacter laneus	10.1099/ijs.0.014571-0	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	not indicated	asaccharolytic		urease negative	catalase negative	not indicated	minor product	not indicated	not indicated	not indicated	not indicated	minor product
Mogibacterium diversum	10.1099/00207713-52-1-115	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Mogibacterium neglectum	10.1099/00207713-52-1-115	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Campylobacter insulaenigrae	10.1099/ijs.0.63147-0	microaerobe	slightly curved rods	motile	non-spore forming	Gram-negative	not indicated	not indicated		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Fusibacter bizertensis	10.1099/ijs.0.066183-0	not indicated	rod/ bacilli	motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	consumed	major product	consumed	consumed	not indicated	not indicated	not indicated
Fusibacter fontis	10.1099/ijsem.0.000445	not indicated	rod/ bacilli	motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	consumed	major product	consumed	consumed	not indicated	not indicated	not indicated
Campylobacter jejuni	10.1099/00207713-23-2-122	microaerobe	slightly curved rods	motile	not indicated	not indicated	not indicated	not indicated		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Fusibacter paucivorans	10.1099/00207713-49-3-1141	obligate anaerobe	fusiform	motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not indicated	major product	not indicated	major product	not indicated	not indicated	not indicated
Campylobacter lanienae	10.1099/00207713-50-2-865	microaerobe or anaerobe	rod/ bacilli	motile	non-spore forming	Gram-negative	not indicated	asaccharolytic		urease negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Fusibacter tunisiensis	10.1099/ijs.0.034603-0	anaerobe (unspecified)	rod/ bacilli	motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not indicated	major product	not indicated	major product	not indicated	not indicated	not indicated
Campylobacter mucosalis	10.1099/00207713-35-2-189	microaerobe	spirals, cocci, or curved rods	motile	not indicated	Gram-negative	not indicated	not indicated		not indicated	not indicated	consumed	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Campylobacter mustelae	10.1099/00207713-39-3-301	anaerobe (unspecified)	not indicated	motile	not indicated	not indicated	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Campylobacter nitrofigilis	10.1099/00207713-33-3-605	anaerobe (unspecified)	cocci or curved rods	motile	not indicated	Gram-negative	mixed	asaccharolytic		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Campylobacter peloridis	10.1099/ijs.0.000851-0	not indicated	slightly curved rods	not indicated	not indicated	Gram-negative	not indicated	not indicated		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Campylobacter showae	10.1099/00207713-43-4-631	microaerobe	rod/ bacilli	motile	not indicated	Gram-negative	not indicated	asaccharolytic		urease negative	not indicated	consumed	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Campylobacter sputorum	10.1099/00207713-23-2-122	microaerobe	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Campylobacter subantarcticus	10.1099/ijs.0.011056-0	microaerobe or anaerobe	slightly curved rods	motile	not indicated	Gram-negative	growth in 2% bile	not indicated		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Campylobacter volucris	10.1099/ijs.0.013748-0	microaerobe or anaerobe	not indicated	motile	non-spore forming	Gram-negative	growth in 2% bile	not indicated		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Coprococcus comes	10.1099/00207713-24-2-260	obligate anaerobe	cocci	non-motile	not indicated	Gram-positive	somewhat inhibited by 20% bile	saccharolytic		not indicated	not indicated	minor product	major product	not producted	major product	not indicated	not indicated	not indicated
Alkaliphilus crotonatoxidans	10.1099/ijs.0.02373-0	obligate anaerobe	rods or slightly curved rods	motile	spore forming	Gram-positive	not indicated	mixed		not indicated	not indicated	not indicated	not producted	not indicated	not producted	not indicated	not indicated	not indicated
Alkaliphilus halophilus	10.1099/ijs.0.014084-0	obligate anaerobe	rods or slightly curved rods	motile	spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	major product	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Alkaliphilus transvaalensis	10.1099/00207713-51-4-1245	obligate anaerobe	rods or slightly curved rods	motile	spore forming	Gram-positive	not indicated	not indicated		not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Acetivibrio cellulolyticus	10.1099/00207713-36-2-314	anaerobe (unspecified)	rods or slightly curved rods	motile	not indicated	Gram-negative	not indicated	not indicated		urease negative	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Desulfitobacterium aromaticivorans	10.1099/ijs.0.003525-0	obligate anaerobe	slightly curved rods	motile	spore forming	Gram-positive	not indicated	not indicated		not indicated	not indicated	not indicated	consumed	not indicated	not indicated	not indicated	not indicated	not indicated
Desulfitobacterium hafniense	10.1099/00207713-46-2-442	obligate anaerobe	rod/ bacilli	motile	spore forming	Gram-negative	not indicated	asaccharolytic		not indicated	catalase negative	not consumed	major product	not consumed	not consumed	not indicated	not indicated	not indicated
Desulfitobacterium metallireducens	10.1099/00207713-52-6-1929	obligate anaerobe	slightly curved rods	non-motile	not indicated	Gram-positive	not indicated	not indicated		not indicated	not indicated	consumed	not consumed	not indicated	consumed	not consumed	not indicated	not indicated
Caloramator australicus	10.1099/ijs.0.000802-0	obligate anaerobe	slightly curved rods	motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not consumed	not consumed	not consumed	not indicated	not indicated	not indicated	not indicated
Caloramator boliviensis	10.1099/ijs.0.032664-0	obligate anaerobe	rods or slightly curved rods	motile	spore forming	Gram-variable	not indicated	saccharolytic		not indicated	not indicated	not indicated	minor product	minor product	not indicated	not indicated	not indicated	not indicated
Caloramator coolhaasii	10.1099/00207713-50-3-1155	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	not indicated	not indicated		not indicated	not indicated	not indicated	major product	minor product	not indicated	not indicated	not indicated	not indicated
Caloramator indicus	10.1099/00207713-46-2-497	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic		not indicated	not indicated	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Caloramator mitchellensis	10.1099/ijs.0.023655-0	obligate anaerobe	slightly curved rods	motile	non-spore forming	Gram-variable	not indicated	saccharolytic		not indicated	not indicated	not indicated	major product	not consumed	not indicated	not indicated	not indicated	not indicated
Caloramator proteoclasticus	10.1099/00207713-47-3-651	obligate anaerobe	rods or slightly curved rods	motile	spore forming	Gram-negative	not indicated	saccharolytic		not indicated	not indicated	major product	major product	major product	major product	not indicated	not indicated	not indicated
Caloramator quimbayensis	10.1099/ijs.0.037937-0	obligate anaerobe	rods or slightly curved rods	motile	spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not indicated	major product	not consumed	not consumed	not indicated	not indicated	not indicated
Caloramator viterbiensis	10.1099/00207713-52-4-1177	not indicated	rods or slightly curved rods	non-motile	spore forming	Gram-positive	not indicated	saccharolytic		not indicated	not indicated	not consumed	not consumed	not consumed	not indicated	not indicated	not indicated	not indicated
Veillonella caviae	10.1099/00207713-32-1-28	obligate anaerobe	not indicated	non-motile	non-spore forming	Gram-negative	not indicated	not indicated		not indicated	not indicated	not indicated	major product	major product	not indicated	not indicated	not indicated	not indicated
Facklamia miroungae	10.1099/00207713-51-4-1401	facultative anaerobe	ovoid	non-motile	non-spore forming	Gram-positive	not indicated	mixed		urease positive	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Facklamia sourekii	10.1099/00207713-49-2-635	facultative anaerobe	ovoid	non-motile	non-spore forming	Gram-positive	not indicated	mixed		urease negative	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
