DQ364238	1	1437	s108	Hoeflea anabaenae		Phyllobacteriaceae		http://www.bacterio.net/hoeflea.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Hoeflea
GU564401	1	1419	s119	Hoeflea halophila		Phyllobacteriaceae		http://www.bacterio.net/hoeflea.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Hoeflea
AY598817	1	1477	s93	Hoeflea marina	type sp.	Phyllobacteriaceae	1	http://www.bacterio.net/hoeflea.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Hoeflea
HG965759	1	1423	s128	Hoeflea olei		Phyllobacteriaceae		http://www.bacterio.net/hoeflea.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Hoeflea
ABIA03000001	524548	525915	s123	Hoeflea phototrophica		Phyllobacteriaceae	1	http://www.bacterio.net/hoeflea.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Hoeflea
HM800935	1	1449	s115	Hoeflea suaedae		Phyllobacteriaceae		http://www.bacterio.net/hoeflea.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Hoeflea
M59230	1	1487	s93	Holdemanella biformis	type sp.	Eubacteriaceae	1	http://www.bacterio.net/holdemanella.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Holdemanella
Y11466	1	1391	s93	Holdemania filiformis	type sp.	Erysipelotrichaceae	1	http://www.bacterio.net/holdemania.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemania
X77215	1	1501	s93	Holophaga foetida	type sp.	Holophagaceae	1	http://www.bacterio.net/holophaga.html	Bacteria;Acidobacteria;Holophagae;Holophagales	Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga
JQ639055	1	1468	s119	Homoserinibacter gongjuensis	type sp.	Microbacteriaceae		http://www.bacterio.net/homoserinibacter.html	Bacteria;Actinobacteria;Actinobacteria;Microccocales and Actinomycetaceae;Microbacteriaceae	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Homoserinibacter
JQ639053	1	1469	s115	Homoserinimonas aerilata	type sp.	Microbacteriaceae		http://www.bacterio.net/homoserinimonas.html	Bacteria;Actinobacteria;Actinobacteria;Microccocales and Actinomycetaceae;Microbacteriaceae	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Homoserinimonas
KF576216	1	1489	s119	Hoppeia youngheungensis	type sp.	Flavobacteriaceae		http://www.bacterio.net/hoppeia.html	Bacteria;Bacteroidetes;Flavobacteriales and Bacteroidales;Flavobacteriaceae	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Hoppeia
DQ925472	1	1531	s93	Howardella ureilytica	type sp.	Unclassified Clostridiales	1	http://www.bacterio.net/howardella.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Lachnospiraceae branch	Bacteria;Firmicutes;Clostridia;Unclassified Clostridiales;Howardella
FJ179485	1	1333	s104	Hoyosella altamirensis	type sp.	Unclassified Corynebacterineae		http://www.bacterio.net/hoyosella.html	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacterineae;Mycobacteriaceae	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Unclassified Corynebacterineae;Hoyosella
JQ303016	1	1425	s115	Huanghella arctica	type sp.	Cytophagaceae		http://www.bacterio.net/huanghella.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Huanghella
AB282888	1	1480	s100	Humibacillus xanthopallidus	type sp.	Intrasporangiaceae	1	http://www.bacterio.net/humibacillus.html	Bacteria;Actinobacteria;Actinobacteria;Microccocales and Actinomycetaceae;Intrasporangiaceae-Dermacoccaceae and Dermatophilaceae	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Humibacillus
AM494541	27	1488	s95	Humibacter albus	type sp.	Microbacteriaceae	1	http://www.bacterio.net/humibacter.html	Bacteria;Actinobacteria;Actinobacteria;Microccocales and Actinomycetaceae;Microbacteriaceae	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Humibacter
HF570028	1	1412	s119	Humibacter antri		Microbacteriaceae		http://www.bacterio.net/humibacter.html	Bacteria;Actinobacteria;Actinobacteria;Microccocales and Actinomycetaceae;Microbacteriaceae	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Humibacter
KF915800	1	1477	s128	Humibacter ginsengisoli		Microbacteriaceae		http://www.bacterio.net/humibacter.html	Bacteria;Actinobacteria;Actinobacteria;Microccocales and Actinomycetaceae;Microbacteriaceae	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Humibacter
JQ010859	1	1440	s128	Humibacter ginsengiterrae		Microbacteriaceae		http://www.bacterio.net/humibacter.html	Bacteria;Actinobacteria;Actinobacteria;Microccocales and Actinomycetaceae;Microbacteriaceae	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Humibacter
HQ882802	1	1479	s115	Humitalea rosea	type sp.	Acetobacteraceae		http://www.bacterio.net/humitalea.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Humitalea
HE603919	1	1409	s119	Hungatella effluvii		Clostridiaceae		http://www.bacterio.net/hungatella.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Lachnospiraceae branch	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Hungatella
AJ311620	1	1431	s93	Hungatella hathewayi	type sp.	Clostridiaceae	1	http://www.bacterio.net/hungatella.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Lachnospiraceae branch	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Hungatella
JX546142	1	1479	s119	Hwangdonia seohaensis	type sp.	Flavobacteriaceae		http://www.bacterio.net/hwangdonia.html	Bacteria;Bacteroidetes;Flavobacteriales and Bacteroidales;Flavobacteriaceae	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Hwangdonia
FJ230842	1	1350	s104	Hwanghaeicola aestuarii	type sp.	Rhodobacteraceae		http://www.bacterio.net/hwanghaeicola.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodobacterales	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Hwanghaeicola
DQ768124	1	1491	s93	Hyalangium minutum	type sp.	Archangiaceae	1	http://www.bacterio.net/hyalangium.html	Bacteria;Delta and Epsilonproteobacteria;Myxococcales;Cystobacterineae;Archangiaceae and Myxococcaceae	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacterineae;Archangiaceae;Hyalangium
JQ717375	1	1348	s123	Hydrobacter penzbergensis	type sp.	Chitinophagaceae		http://www.bacterio.net/hydrobacter.html	Bacteria;Bacteroidetes;Chitinophagaceae	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Hydrobacter
EU313812	1	1487	s106	Hydrocarboniphaga daqingensis		Nevskiaceae		http://www.bacterio.net/hydrocarboniphaga.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Nevskiaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;Nevskiaceae;Hydrocarboniphaga
AY363245	1	1477	s93	Hydrocarboniphaga effusa	type sp.	Nevskiaceae	1	http://www.bacterio.net/hydrocarboniphaga.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Nevskiaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;Nevskiaceae;Hydrocarboniphaga
AB042060	1	1515	s93	Hydrogenibacillus schlegelii	type sp.	Bacillaceae	1	http://www.bacterio.net/hydrogenibacillus.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Hydrogenibacillus
AB105048	1	1422	s93	Hydrogenimonas thermophila	type sp.	Hydrogenimonaceae	1	http://www.bacterio.net/hydrogenimonas.html	Bacteria;Delta and Epsilonproteobacteria;Epsilonproteobacteria;Campylobacterales	Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Hydrogenimonaceae;Hydrogenimonas
AB669474	1	1443	s119	Hydrogenispora ethanolica	type sp.	Heliobacteriaceae		http://www.bacterio.net/hydrogenispora.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Heliobacteriaceae	Bacteria;Firmicutes;Clostridia;Clostridiales;Heliobacteriaceae;Hydrogenispora
AB120294	1	1492	s93	Hydrogenivirga caldilitoris	type sp.	Aquificaceae	1	http://www.bacterio.net/hydrogenivirga.html	Bacteria;Aquificae;Aquificaceae	Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae;Hydrogenivirga
AB235314	1	1461	s95	Hydrogenivirga okinawensis		Aquificaceae	1	http://www.bacterio.net/hydrogenivirga.html	Bacteria;Aquificae;Aquificaceae	Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae;Hydrogenivirga
EU158190	1	1510	s100	Hydrogenoanaerobacterium saccharovorans	type sp.	Ruminococcaceae		http://www.bacterio.net/hydrogenoanaerobacterium.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Ruminococcaceae branch	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Hydrogenoanaerobacterium
Z30242	1	1514	s93	Hydrogenobacter hydrogenophilus		Aquificaceae	1	http://www.bacterio.net/hydrogenobacter.html	Bacteria;Aquificae;Aquificaceae	Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae;Hydrogenobacter
AB026268	1	1497	s93	Hydrogenobacter subterraneus		Aquificaceae	1	http://www.bacterio.net/hydrogenobacter.html	Bacteria;Aquificae;Aquificaceae	Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae;Hydrogenobacter
CP002221	246761	248300	s106	Hydrogenobacter thermophilus	type sp.	Aquificaceae	1	http://www.bacterio.net/hydrogenobacter.html	Bacteria;Aquificae;Aquificaceae	Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae;Hydrogenobacter
D16296	1	1436	s93	Hydrogenobaculum acidophilum	type sp.	Aquificaceae	1	http://www.bacterio.net/hydrogenobaculum.html	Bacteria;Aquificae;Aquificaceae	Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae;Hydrogenobaculum
AJ585992	1	1527	s93	Hydrogenophaga atypica		Comamonadaceae	1	http://www.bacterio.net/hydrogenophaga.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga
EF532793	1	1484	s95	Hydrogenophaga bisanensis		Comamonadaceae	1	http://www.bacterio.net/hydrogenophaga.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga
DQ372983	1	1446	s93	Hydrogenophaga caeni		Comamonadaceae	1	http://www.bacterio.net/hydrogenophaga.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga
AJ585993	1	1502	s93	Hydrogenophaga defluvii		Comamonadaceae	1	http://www.bacterio.net/hydrogenophaga.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga
AF078771	1	1513	s93	Hydrogenophaga flava	type sp.	Comamonadaceae	1	http://www.bacterio.net/hydrogenophaga.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga
AF019037	1	1481	s93	Hydrogenophaga intermedia		Comamonadaceae	1	http://www.bacterio.net/hydrogenophaga.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga
KM598239	1	1439	s128	Hydrogenophaga luteola		Comamonadaceae		http://www.bacterio.net/hydrogenophaga.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga
AF078769	1	1510	s93	Hydrogenophaga palleronii		Comamonadaceae	1	http://www.bacterio.net/hydrogenophaga.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga
AF078770	1	1513	s93	Hydrogenophaga pseudoflava		Comamonadaceae	1	http://www.bacterio.net/hydrogenophaga.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga
AF078768	1	1514	s93	Hydrogenophaga taeniospiralis		Comamonadaceae	1	http://www.bacterio.net/hydrogenophaga.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga
FR749905	1	1533	s108	Hydrogenophilus hirschii		Hydrogenophilaceae	1	http://www.bacterio.net/hydrogenophilus.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Hydrogenophilales	Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Hydrogenophilus
EU625664	1	1493	s106	Hydrogenophilus islandicus		Hydrogenophilaceae		http://www.bacterio.net/hydrogenophilus.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Hydrogenophilales	Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Hydrogenophilus
AB009828	1	1461	s93	Hydrogenophilus thermoluteolus	type sp.	Hydrogenophilaceae	1	http://www.bacterio.net/hydrogenophilus.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Hydrogenophilales	Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Hydrogenophilus
D86374	1	1409	s93	Hydrogenovibrio marinus	type sp.	Piscirickettsiaceae	1	http://www.bacterio.net/hydrogenovibrio.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Other Thiotrichales;Piscirickettsiaceae	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Hydrogenovibrio
LM653273	1	1418	s128	Hydromonas duriensis	type sp.	Burkholderiaceae		http://www.bacterio.net/hydromonas.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Hydromonas
FN665659	1	1409	s106	Hydrotalea flava	type sp.	Chitinophagaceae		http://www.bacterio.net/hydrotalea.html	Bacteria;Bacteroidetes;Chitinophagaceae	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Hydrotalea
JF739858	1	1531	s119	Hydrotalea sandarakina		Chitinophagaceae		http://www.bacterio.net/hydrotalea.html	Bacteria;Bacteroidetes;Chitinophagaceae	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Hydrotalea
AF078753	1	1487	s93	Hylemonella gracilis	type sp.	Comamonadaceae	1	http://www.bacterio.net/hylemonella.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Gammaproteobacteria and Betaproteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hylemonella
Y17356	1	1445	s93	Hymenobacter actinosclerus		Cytophagaceae	1	http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
AJ276901	1	1362	s93	Hymenobacter aerophilus		Cytophagaceae	1	http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
EU155009	1	1472	s108	Hymenobacter algoricola		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
EU155012	1	1438	s108	Hymenobacter antarcticus		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
KC213491	1	1388	s119	Hymenobacter arcticus		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
JX294485	1	1422	s115	Hymenobacter arizonensis		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
Y18837	1	1507	s93	Hymenobacter chitinivorans		Cytophagaceae	1	http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
EU370958	1	1468	s100	Hymenobacter daecheongensis		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
EU325941	1	1427	s100	Hymenobacter deserti		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
GQ454797	1	1365	s108	Hymenobacter elongatus		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
EU155015	1	1461	s108	Hymenobacter fastidiosus		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
HM032897	1	1501	s108	Hymenobacter flocculans		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
Y18836	1	1506	s93	Hymenobacter gelipurpurascens		Cytophagaceae	1	http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
JN090860	1	1429	s115	Hymenobacter ginsengisoli		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
GQ454806	1	1366	s108	Hymenobacter glaciei		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
KC192770	1	1206	s119	Hymenobacter kanuolensis		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
JN607157	1	1374	s119	Hymenobacter koreensis		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
AB859260	1	1540	s123	Hymenobacter latericoloratus		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
AB859261	1	1545	s123	Hymenobacter luteus		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
JX272928	1	1386	s128	Hymenobacter marinus		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
HM032898	1	1492	s108	Hymenobacter metalli		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
KT454960	1	1475	s128	Hymenobacter monticola		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
AB859259	1	1420	s128	Hymenobacter mucosus		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
AJ549285	1	1442	s93	Hymenobacter norwichensis		Cytophagaceae	1	http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
Y18835	1	1505	s93	Hymenobacter ocellatus		Cytophagaceae	1	http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
HF544322	1	1424	s128	Hymenobacter paludis		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
HM032896	1	1492	s108	Hymenobacter perfusus		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
GQ131579	1	1511	s106	Hymenobacter psychrophilus		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
DQ177475	1	1484	s95	Hymenobacter psychrotolerans		Cytophagaceae	1	http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
KF723715	1	1393	s121	Hymenobacter qilianensis		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
DQ089669	1	1435	s93	Hymenobacter rigui		Cytophagaceae	1	http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
Y18833	1	1508	s93	Hymenobacter roseosalivarius	type sp.	Cytophagaceae	1	http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
HG965772	1	1394	s121	Hymenobacter roseus		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
KF056994	1	1267	s119	Hymenobacter ruber		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
JN607158	1	1371	s119	Hymenobacter saemangeumensis		Cytophagaceae		http://www.bacterio.net/hymenobacter.html	Bacteria;Bacteroidetes;Cytophagales;Other Cytophagaceae	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter
